task_size,optimal,naive,heuristic,lowerbound,upperbound
52,300.05921,572.8281617409056,351.14748449053826,138.76296,391.24869838462405
82,586.18851,1331.3128540244006,698.6688417479015,201.98304,780.4318091229098
104,10000000,2051.988186148974,1181.833119651485,277.52593,1084.7988193755361
164,1637.77108,4908.957570715966,2392.931559303018,403.96607,2182.617661667869
156,1520.32995,4427.097315671543,2515.1051913091133,416.28889,1980.2296750637129
246,10000000,10722.551392522024,5128.200522698374,605.94912,3997.1464116886077
208,2333.07674,7706.784325022744,4320.182955770601,555.05186,3040.028901693226
328,10000000,18780.723094156718,8876.07384841392,807.93215,6141.2107115855
260,3254.04157,11887.994968277473,6602.766119158128,693.81482,4242.004012624591
410,6424.66253,29080.41842969494,13562.092685406415,1009.91519,8581.386413510643
312,4271.75539,16967.104097800042,9411.33279943706,832.57778,5568.673026797751
492,10000000,41618.012251501,19356.644767630198,1211.89823,11273.632972783178
364,5377.87606,22950.791107151243,12670.852536835615,971.34075,7012.264457058709
574,10000000,56400.18395313568,26103.094518568214,1413.88127,14201.303716058666
416,6565.71298,29836.001750405976,16404.64052815484,1110.10371,8563.233740646274
656,12977.19203,73423.87928867387,33831.316526414616,1615.86431,17346.625017576633
468,7829.99982,37619.11087992854,20688.501817054886,1248.86668,10211.567035119899
738,10000000,92685.47311048009,42685.15172746671,1817.84735,20693.046913737722
520,9169.60916,46306.79788927975,25668.437288627654,1387.62964,11949.613377542899
820,10000000,114191.64481211497,52905.78716201741,2019.83038,24208.936736416123
572,10571.28621,55896.00853253448,30587.45634664135,1526.3926,13790.90781823619
902,20904.74224,137939.34014765336,63200.60308232752,2221.81342,27953.665761412365
