task_sizes,naive1,naive2,heuristic
67,436.0169642297629,497.84545017394436,435.4200232168706
219,2520.146401994485,4169.220151691228,2520.146401994485
134,1212.9748620021214,1689.985680448004,1212.9748620021214
438,7091.52135928523,15683.270420976887,7091.52135928523
201,2217.0138261036163,3576.6284381896485,2217.0138261036163
657,13006.781684008121,34544.27212820063,13006.781684008121
133,1199.5584541371231,1664.2269077357648,1199.5584541371231
437,7067.355267338041,15604.323556697016,7067.355267338041
266,3366.7104466995297,6058.953915074957,3366.7104466995297
874,19940.472054362515,60438.609389118224,19940.472054362515
399,6168.69534853293,13184.18102201758,6168.69534853293
1311,36602.62286737362,134502.8574972631,36602.62286737362
331,4666.071024089716,9188.548905650889,4666.071024089716
1091,27796.55411549914,93524.88303907042,27796.55411549914
662,13155.240340842549,35264.67678809451,13155.240340842549
2182,78541.83604140335,369158.38072227966,78541.83604140335
993,24141.41538791346,78228.38364733098,24141.41538791346
3273,144242.03288141754,826900.4930496468,144242.03288141754
661,13125.50820334791,35144.59048607334,13125.50820334791
2181,78487.8730911504,368770.8179737555,78487.8730911504
1322,37063.764587411264,137602.54746461293,37063.764587411264
4362,221885.09611887904,1465205.0903473431,221885.09611887904
1983,68052.92134629676,307373.8709356201,68052.92134629676
6543,407559.9359576291,3289302.817120784,407559.9359576291
