graph_object,num_tasks,num_machines,weights,order,features,psize,GD_cost,LR_cost,opt_cost,global_opt_cost,ETF-H_cost,weak_strongman_cost
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 4}, {'source': 0, 'target': 2}, {'source': 1, 'target': 2}, {'source': 1, 'target': 3}, {'source': 2, 'target': 3}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 4, 3, 5], [1, 2]]","[{'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.4, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.4, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.25}]","[1, 1, 1, 1, 1, 1]",inf,inf,10000000,21.66364,17.41348460451408,17.597130656443333
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 4}, {'source': 0, 'target': 3}, {'source': 1, 'target': 3}, {'source': 3, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 3, 5], [1, 2, 4]]","[{'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.6000000000000001, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}]","[1, 1, 1, 1, 1, 1]",inf,inf,10000000,19.8564,16.58505747976789,16.947229278263197
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 4}, {'source': 1, 'target': 3}, {'source': 2, 'target': 4}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 4], [1, 3, 5]]","[{'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.4, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}]","[1, 1, 1, 1, 1, 1]",inf,inf,10000000,16.58506,16.58505747976789,16.585057479767887
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 3}, {'source': 0, 'target': 2}, {'source': 1, 'target': 2}, {'source': 1, 'target': 4}, {'source': 2, 'target': 3}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[0, 2, 3, 5], [1, 4, 6]]","[{'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.25}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,0.0,20.604270638178022,20.80423743762988
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 1, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 5], [1, 3, 4]]","[{'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}]","[1, 1, 1, 1, 1, 1]",inf,inf,10000000,16.58506,16.58505747976789,17.071067811865476
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 1}, {'source': 0, 'target': 2}, {'source': 1, 'target': 6}, {'source': 2, 'target': 6}, {'source': 2, 'target': 5}, {'source': 2, 'target': 3}, {'source': 4, 'target': 5}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[0, 2, 3, 6], [4, 1, 5]]","[{'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.5, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,19.66364,20.63629721863083,20.94644393531756
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 1, 'target': 2}, {'source': 2, 'target': 4}, {'source': 2, 'target': 5}, {'source': 3, 'target': 4}, {'source': 5, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[1, 2, 5, 6], [3, 0, 4]]","[{'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 4.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,19.22073,20.63629721863083,20.88888339017855
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 2}, {'source': 0, 'target': 4}, {'source': 1, 'target': 4}, {'source': 1, 'target': 3}, {'source': 2, 'target': 3}, {'source': 4, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[0, 2, 5, 6], [1, 4, 3]]","[{'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,20.58506,20.63629721863083,20.888883390178552
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 5}, {'source': 2, 'target': 6}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}, {'source': 5, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[2, 3, 5, 6], [0, 4, 1]]","[{'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.5}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,20.6363,20.63629721863083,20.684833585297206
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 1}, {'source': 0, 'target': 4}, {'source': 1, 'target': 2}, {'source': 2, 'target': 3}, {'source': 4, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[0, 1, 2, 6], [4, 5, 3]]","[{'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 4.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 3.0}]","[6.999993062500001, 3.0004129089, 2.0004142096, 1.0, 2.9995815249, 1.9995656836000002, 1.0]",inf,inf,21.87656,20.58506,21.498595628887845,22.1352904218469
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 1, 'target': 6}, {'source': 1, 'target': 2}, {'source': 1, 'target': 5}, {'source': 2, 'target': 6}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}, {'source': 4, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[1, 2, 0, 5], [4, 3, 6]]","[{'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.5, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.25}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.333333333333333}]","[1.9999899240999999, 4.0, 2.9999972025000003, 1.9999899240999999, 2.9999972025000003, 1.0, 1.0]",inf,inf,20.58506,20.58506,20.63629721863083,20.7566303550217
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}, {'id': 7}], 'links': [{'source': 0, 'target': 7}, {'source': 0, 'target': 1}, {'source': 0, 'target': 5}, {'source': 1, 'target': 3}, {'source': 2, 'target': 5}, {'source': 2, 'target': 3}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}, {'source': 4, 'target': 7}, {'source': 4, 'target': 6}, {'source': 5, 'target': 7}, {'source': 5, 'target': 6}]}",8,2,"[1, 1, 1, 1, 1, 1, 1, 1]","[[0, 2, 3, 5, 7], [4, 1, 6]]","[{'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.42857142857142855, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.14285714285714285, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.14285714285714285, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.42857142857142855, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 2.375}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.6875}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.458333333333333}]","[4.000160001599999, 3.0001011264, 2.9998932804, 4.0, 3.9998400016, 2.9999972025000003, 1.0, 1.0]",inf,inf,26.3923,25.75083,26.392304845413264,26.465712224203394
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}, {'id': 7}], 'links': [{'source': 0, 'target': 6}, {'source': 0, 'target': 2}, {'source': 1, 'target': 7}, {'source': 1, 'target': 3}, {'source': 1, 'target': 6}, {'source': 2, 'target': 3}, {'source': 3, 'target': 4}, {'source': 3, 'target': 7}, {'source': 4, 'target': 5}, {'source': 4, 'target': 6}]}",8,2,"[1, 1, 1, 1, 1, 1, 1, 1]","[[1, 2, 3, 4, 5], [0, 7, 6]]","[{'constant': 1, 'num_descendants': 7.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.42857142857142855, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.14285714285714285, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 3.5}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 4.5}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.833333333333333}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.75}]","[1, 1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,26.36792,27.02796969005832,27.407107441890286
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 1, 'target': 6}, {'source': 1, 'target': 4}, {'source': 2, 'target': 4}, {'source': 2, 'target': 3}, {'source': 5, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[1, 5, 4, 6], [2, 0, 3]]","[{'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.3333333333333333, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,20.58506,20.58505747976789,21.04108740539787
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}, {'id': 7}], 'links': [{'source': 0, 'target': 7}, {'source': 0, 'target': 5}, {'source': 1, 'target': 7}, {'source': 1, 'target': 2}, {'source': 2, 'target': 4}, {'source': 4, 'target': 6}, {'source': 4, 'target': 5}, {'source': 5, 'target': 7}]}",8,2,"[1, 1, 1, 1, 1, 1, 1, 1]","[[0, 2, 4, 5, 7], [1, 3, 6]]","[{'constant': 1, 'num_descendants': 3.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 6.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'out_degree_betweenness_centrality': 0.14285714285714285, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'out_degree_betweenness_centrality': 0.2857142857142857, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.14285714285714285, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 4.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.6666666666666665}]","[4.0, 4.0, 4.9085288704000005, 1.0914816676, 3.908529, 1.9999899240999999, 1.0, 1.0]",inf,inf,25.30294,25.11515,25.35334948424581,25.308182294486063
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 1, 'target': 4}, {'source': 2, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 0, 5], [2, 3, 4]]","[{'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.2, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}]","[1, 1, 1, 1, 1, 1]",inf,inf,10000000,16.58506,16.58505747976789,17.071067811865476
"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}, {'id': 6}], 'links': [{'source': 0, 'target': 2}, {'source': 1, 'target': 6}, {'source': 3, 'target': 6}, {'source': 5, 'target': 6}]}",7,2,"[1, 1, 1, 1, 1, 1, 1]","[[0, 3, 4, 6], [1, 5, 2]]","[{'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'out_degree_betweenness_centrality': 0.16666666666666666, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'out_degree_betweenness_centrality': 0.0, 'trophic_levels': 2.0}]","[1, 1, 1, 1, 1, 1, 1]",inf,inf,10000000,20.58506,20.58505747976789,21.142135623730955
