task_size,naive1,heuristic,upperbound
52,300.1511792159383,351.97566787991207,300.06190153399876,389.1886607044873
82,586.324397539402,643.4306401235914,586.191936966383,779.1061115887866
104,833.0016729119018,1125.9188047499895,832.97531013795,1071.326195620372
164,1637.8204004161248,2044.3206826221758,1637.7842648778587,2170.245666026469
156,1520.3299894979493,2322.587609499978,1520.3299894979493,1951.843391785396
246,2996.112771203816,4203.428326385501,2996.112771203816,3971.553622571799
208,2333.1977420763883,3940.7976732478555,2333.077628150155,2991.9609253863277
328,4603.231325700344,7119.569162531549,4603.068311601237,6101.643634907391
260,3254.09721046939,5981.676012647425,3254.0456996704097,4169.898042993444
410,6424.738272457003,10793.870207714142,6424.6703410179,8516.201252049652
312,4271.755549529451,8445.28001992688,4271.755549529451,5472.502076947365
492,8438.089949297793,15226.388854161436,8438.089949297793,11187.037030033232
364,5378.0273596315255,11330.474479542749,5377.876695305461,6887.890857808032
574,10626.851526379514,20415.989886329975,10626.650829857346,14089.472689799935
416,6565.7850230022295,14638.288021471797,6565.716259987053,8406.81522615652
656,12977.288222557536,26363.701934196477,12977.19822266844,17206.012405524918
468,7830.000188650671,18368.82723128078,7830.000188650671,10024.56175017469
738,15479.258730585114,33069.63158332782,15479.258730585114,20525.18886766322
520,9166.63666567734,22521.006086764624,9166.460215095618,11734.592283677368
820,18124.49013114077,40532.692811518784,18124.25681785813,24033.508231299624
572,10571.37188150052,27095.75483122323,10571.28921774763,13530.799328079109
902,20904.85592427351,48753.81586206904,20904.748015704998,27720.49550281471
