task_size,naive1,heuristic,upperbound
109,892.9598739755859,1562.2012517336054,892.9598739755859,1068.4382324185588
61,379.16101825843043,534.1954090117648,379.16101825843043,419.03273024570973
334,4729.379649589649,13495.425547858422,4729.379649589649,5626.654594826957
178,1850.0709968864394,3960.0573407704474,1850.0709968864394,2052.8825787402698
667,13304.236833937832,52741.85825998632,13304.236833937832,15982.524359073323
349,5050.153132062258,14667.956470655412,5050.153132062258,5733.391808401277
1006,24616.362954569544,119153.61547011607,24616.362954569544,28085.48896049425
520,9166.451276093081,32141.894960538993,9166.451276093081,10479.699005935394
1225,33064.59370476972,176182.63723071746,33064.59370476972,39732.51605764563
631,12244.05220941459,47077.1227989149,12244.05220941459,14730.344437244068
1474,43628.934569734614,254558.50371232853,43628.934569734614,50354.58015940982
760,16175.206481309086,68018.62792647879,16175.206481309086,19619.69960547354
1681,53125.201938176935,330618.1801957354,53125.201938176935,61447.21393439518
865,19633.767388530305,87879.65171622686,19633.767388530305,23841.178574121528
361,5311.775409903457,15773.094000003413,5311.775409903457,6336.710991354907
187,1991.0349168219986,4378.0141056758175,1991.0349168219986,2180.057010141759
772,16559.080381706866,70607.56317664836,16559.080381706866,18333.857384960316
394,6053.5434717926055,18672.377709689317,6053.5434717926055,6712.984001912688
1189,31619.516217076332,166375.10384847486,31619.516217076332,38073.43642433022
607,11553.741583561505,43747.223712961066,11553.741583561505,13922.695137534422
1642,51288.75837089375,316241.22528622515,51288.75837089375,61909.86603299422
838,18723.21901683797,82835.06408123185,18723.21901683797,22617.00893307134
2095,73894.67186970715,513823.87591332477,73894.67186970715,84314.09195383202
1069,26961.136970767275,134294.53072567028,26961.136970767275,30804.88510500508
2542,98746.17180588616,755556.5009174646,98746.17180588616,119523.22630844347
1294,35893.7856468373,196305.92168931078,35893.7856468373,41405.551534516424
