task_size,naive1,heuristic,upperbound
96,756.7009336672454,819.5584379814343,871.5909211577181,1170.2034059974685
156,1529.1775279179406,1769.1343825738847,1769.0510913083363,2328.4576264623424
176,1870.5059330012593,2240.566680771761,2051.368805337354,2940.246378482111
286,3772.5112655619296,5075.874225070862,4208.238587093944,5991.853529098082
256,3271.563266916319,4307.067069886128,4423.883365354369,5233.627780148142
416,6607.411959832374,10041.323880152599,9292.552476434623,10790.560852619545
336,4909.553660879891,6985.377132364097,5647.125557091105,7738.3861785103745
546,9918.896614994872,16629.444253036676,11843.45914103788,15660.452908018055
416,6763.039217319994,10345.340861215705,7676.071187447718,10709.089231533158
676,13669.582928273498,24920.889373724964,16124.025018263594,21865.0670342609
