,graph_object,num_tasks,num_machines,weights,order,features,psize,GD_cost,LR_cost,RLP_cost,ETF-H_cost,weak_strongman_cost
0,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 2, 'target': 3}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[2, 4, 1], [0, 3, 5]]","[{'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.333333333333333}]","[2.9999625616000003, 1.0, 3.0000664849, 1.9999899240999999, 2.0000182084, 1.0]",16.656551547674063,16.750407860510386,16.58506,16.58505747976789,16.65648977056287
1,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 4}, {'source': 0, 'target': 1}, {'source': 1, 'target': 5}, {'source': 1, 'target': 2}, {'source': 3, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 1, 5], [3, 4, 2]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}]","[3.0001357681, 2.0000464929, 1.0, 2.9998932804, 1.9999616399999998, 1.0]",16.692660031252863,16.764546676441505,16.58506,16.58505747976789,16.99999401588053
2,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 1, 'target': 2}, {'source': 1, 'target': 5}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 0, 2], [4, 3, 5]]","[{'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[1.9999899240999999, 2.9999972025000003, 1.0, 1.9999899240999999, 2.9999972025000003, 1.0]",16.655966329714715,16.73207977169481,16.58506,16.58505747976789,16.99963552107049
3,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 1, 'target': 3}, {'source': 1, 'target': 2}, {'source': 2, 'target': 4}, {'source': 2, 'target': 3}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 2, 3, 5], [0, 4]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.5}]","[2.9999972025000003, 2.9999972025000003, 4.0, 1.9999899240999999, 1.0, 1.0]",17.83516698472608,17.937221866226587,17.75663,17.7566303550217,17.983844652745518
4,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 2, 'target': 4}, {'source': 3, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[2, 0, 5], [3, 1, 4]]","[{'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}]","[1.9999899240999999, 1.9999899240999999, 2.9999972025000003, 2.9999972025000003, 1.0, 1.0]",16.71711180316348,16.796930018074455,16.58506,16.58505747976789,17.071067811865476
5,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 1, 'target': 5}, {'source': 1, 'target': 2}, {'source': 2, 'target': 3}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 2, 5], [0, 4, 3]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[2.9999972025000003, 2.9999972025000003, 2.0000182084, 1.0, 1.9999899240999999, 1.0]",16.671191039901423,16.760324576269305,16.58506,16.58505747976789,16.947229278263197
6,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 3}, {'source': 1, 'target': 4}, {'source': 2, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 3], [1, 5, 4]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[3.0002743369, 2.9997200809, 2.0001030625, 1.0, 1.0, 1.9999050724]",16.717466782202823,16.772334374307697,16.58506,16.58505747976789,16.828062645816683
7,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 0, 'target': 3}, {'source': 0, 'target': 4}, {'source': 1, 'target': 5}, {'source': 1, 'target': 3}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 1, 5], [2, 4, 3]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}]","[3.0000318436, 2.0000182084, 2.9999625616000003, 1.0, 1.9999899240999999, 1.0]",16.77360038444177,16.843178169244997,16.58506,16.58505747976789,17.464460109947794
8,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 3}, {'source': 1, 'target': 3}, {'source': 1, 'target': 2}, {'source': 1, 'target': 5}, {'source': 3, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 3, 5], [0, 2, 4]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[2.9999972025000003, 2.9999972025000003, 1.9991414881, 2.0008668304, 1.0, 1.0]",16.760792021373405,16.850082699472214,16.58506,16.58505747976789,17.130510851262944
9,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 3}, {'source': 1, 'target': 2}, {'source': 1, 'target': 4}, {'source': 1, 'target': 3}, {'source': 2, 'target': 5}, {'source': 3, 'target': 4}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 2, 4, 5], [0, 3]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.833333333333333}]","[2.9999972025000003, 2.9999972025000003, 1.9999899240999999, 1.9999899240999999, 1.9999899240999999, 1.0]",17.4840852126615,17.643820228842564,17.41348,17.41348460451408,17.597130656443333
