,in_degree,out_degree,num_descendants,longest_descendant_path,in_degree_betweenness_centrality,out_degree_betweenness_centrality,trophic_levels
0,0,3,4,2,0.0,0.6000000000000001,1.0
1,0,0,1,0,0.0,0.0,1.0
2,0,1,2,1,0.0,0.2,1.0
3,2,0,1,0,0.4,0.0,2.0
4,1,1,2,1,0.2,0.2,2.0
5,2,0,1,0,0.4,0.0,2.5
6,0,2,3,1,0.0,0.4,1.0
7,0,2,3,1,0.0,0.4,1.0
8,2,0,1,0,0.4,0.0,2.0
9,1,0,1,0,0.2,0.0,2.0
10,1,0,1,0,0.2,0.0,2.0
11,0,0,1,0,0.0,0.0,1.0
12,0,1,4,2,0.0,0.2,1.0
13,0,2,3,1,0.0,0.4,1.0
14,0,0,1,0,0.0,0.0,1.0
15,1,2,3,1,0.2,0.4,2.0
16,2,0,1,0,0.4,0.0,2.5
17,2,0,1,0,0.4,0.0,2.5
18,0,2,3,1,0.0,0.4,1.0
19,1,0,1,0,0.2,0.0,2.0
20,1,0,1,0,0.2,0.0,2.0
21,0,1,3,2,0.0,0.2,1.0
22,1,1,2,1,0.2,0.2,2.0
23,1,0,1,0,0.2,0.0,3.0
24,0,1,3,2,0.0,0.2,1.0
25,0,0,1,0,0.0,0.0,1.0
26,0,1,3,2,0.0,0.2,1.0
27,0,1,2,1,0.0,0.2,1.0
28,2,1,2,1,0.4,0.2,2.0
29,2,0,1,0,0.4,0.0,2.5
30,0,2,5,2,0.0,0.3333333333333333,1.0
31,0,3,4,2,0.0,0.5,1.0
32,1,0,1,0,0.16666666666666666,0.0,2.0
33,2,2,3,1,0.3333333333333333,0.3333333333333333,2.0
34,0,1,2,1,0.0,0.16666666666666666,1.0
35,2,0,1,0,0.3333333333333333,0.0,2.5
36,3,0,1,0,0.5,0.0,2.333333333333333
37,0,1,2,1,0.0,0.16666666666666666,1.0
38,0,2,4,2,0.0,0.3333333333333333,1.0
39,0,1,3,2,0.0,0.16666666666666666,1.0
40,1,0,1,0,0.16666666666666666,0.0,2.0
41,2,1,2,1,0.3333333333333333,0.16666666666666666,2.0
42,1,0,1,0,0.16666666666666666,0.0,3.0
43,1,0,1,0,0.16666666666666666,0.0,2.0
44,0,2,3,1,0.0,0.3333333333333333,1.0
45,0,0,1,0,0.0,0.0,1.0
46,0,1,2,1,0.0,0.16666666666666666,1.0
47,0,0,1,0,0.0,0.0,1.0
48,2,0,1,0,0.3333333333333333,0.0,2.0
49,0,0,1,0,0.0,0.0,1.0
50,1,0,1,0,0.16666666666666666,0.0,2.0
51,0,2,4,2,0.0,0.3333333333333333,1.0
52,0,2,3,2,0.0,0.3333333333333333,1.0
53,0,0,1,0,0.0,0.0,1.0
54,1,1,2,1,0.16666666666666666,0.16666666666666666,2.0
55,2,1,2,1,0.3333333333333333,0.16666666666666666,2.0
56,0,0,1,0,0.0,0.0,1.0
57,3,0,1,0,0.5,0.0,2.6666666666666665
58,0,1,3,2,0.0,0.16666666666666666,1.0
59,0,2,3,1,0.0,0.3333333333333333,1.0
60,0,0,1,0,0.0,0.0,1.0
61,1,1,2,1,0.16666666666666666,0.16666666666666666,2.0
62,1,0,1,0,0.16666666666666666,0.0,2.0
63,1,0,1,0,0.16666666666666666,0.0,2.0
64,1,0,1,0,0.16666666666666666,0.0,3.0
65,0,0,1,0,0.0,0.0,1.0
66,0,1,2,1,0.0,0.14285714285714285,1.0
67,0,1,3,2,0.0,0.14285714285714285,1.0
68,0,1,2,1,0.0,0.14285714285714285,1.0
69,1,0,1,0,0.14285714285714285,0.0,2.0
70,1,1,2,1,0.14285714285714285,0.14285714285714285,2.0
71,2,0,1,0,0.2857142857142857,0.0,2.5
72,0,0,1,0,0.0,0.0,1.0
73,0,2,5,3,0.0,0.2857142857142857,1.0
74,0,4,5,3,0.0,0.5714285714285714,1.0
75,2,1,3,2,0.2857142857142857,0.14285714285714285,2.0
76,1,1,3,2,0.14285714285714285,0.14285714285714285,2.0
77,1,2,3,2,0.14285714285714285,0.2857142857142857,2.0
78,0,0,1,0,0.0,0.0,1.0
79,4,1,2,1,0.5714285714285714,0.14285714285714285,2.75
80,3,0,1,0,0.42857142857142855,0.0,2.9166666666666665
81,0,1,2,1,0.0,0.14285714285714285,1.0
82,0,1,2,1,0.0,0.14285714285714285,1.0
83,0,1,2,1,0.0,0.14285714285714285,1.0
84,0,1,4,2,0.0,0.14285714285714285,1.0
85,2,0,1,0,0.2857142857142857,0.0,2.0
86,1,2,3,1,0.14285714285714285,0.2857142857142857,2.0
87,1,0,1,0,0.14285714285714285,0.0,3.0
88,2,0,1,0,0.2857142857142857,0.0,2.5
89,0,2,5,2,0.0,0.2857142857142857,1.0
90,1,1,2,1,0.14285714285714285,0.14285714285714285,2.0
91,0,2,3,1,0.0,0.2857142857142857,1.0
92,0,0,1,0,0.0,0.0,1.0
93,1,2,3,1,0.14285714285714285,0.2857142857142857,2.0
94,0,1,2,1,0.0,0.14285714285714285,1.0
95,2,0,1,0,0.2857142857142857,0.0,2.5
96,4,0,1,0,0.5714285714285714,0.0,2.5
97,0,1,3,2,0.0,0.14285714285714285,1.0
98,0,2,5,3,0.0,0.2857142857142857,1.0
99,1,3,4,2,0.14285714285714285,0.42857142857142855,2.0
100,1,1,2,1,0.14285714285714285,0.14285714285714285,2.0
101,2,0,1,0,0.2857142857142857,0.0,2.5
102,1,1,2,1,0.14285714285714285,0.14285714285714285,3.0
103,3,0,1,0,0.42857142857142855,0.0,3.333333333333333
104,0,0,1,0,0.0,0.0,1.0
105,0,1,3,2,0.0,0.125,1.0
106,0,3,4,2,0.0,0.375,1.0
107,0,3,6,3,0.0,0.375,1.0
108,1,2,4,2,0.125,0.25,2.0
109,1,3,4,2,0.125,0.375,2.0
110,0,1,3,2,0.0,0.125,1.0
111,3,0,1,0,0.375,0.0,2.6666666666666665
112,5,1,2,1,0.625,0.125,2.4
113,4,0,1,0,0.5,0.0,2.6
114,0,3,4,2,0.0,0.375,1.0
115,0,2,8,3,0.0,0.25,1.0
116,1,5,6,2,0.125,0.625,2.0
117,1,2,3,1,0.125,0.25,3.0
118,1,1,2,1,0.125,0.125,3.0
119,4,0,1,0,0.5,0.0,3.25
120,2,1,2,1,0.25,0.125,2.5
121,1,0,1,0,0.125,0.0,2.0
122,4,0,1,0,0.5,0.0,3.125
123,0,0,1,0,0.0,0.0,1.0
124,0,2,5,3,0.0,0.25,1.0
125,0,2,4,2,0.0,0.25,1.0
126,1,2,4,2,0.125,0.25,2.0
127,3,1,2,1,0.375,0.125,2.333333333333333
128,0,1,2,1,0.0,0.125,1.0
129,2,1,2,1,0.25,0.125,2.5
130,1,0,1,0,0.125,0.0,2.0
131,2,0,1,0,0.25,0.0,3.4166666666666665
132,0,1,2,1,0.0,0.125,1.0
133,0,0,1,0,0.0,0.0,1.0
134,0,2,3,2,0.0,0.25,1.0
135,0,1,3,2,0.0,0.125,1.0
136,2,1,2,1,0.25,0.125,2.0
137,1,0,1,0,0.125,0.0,2.0
138,0,0,1,0,0.0,0.0,1.0
139,2,0,1,0,0.25,0.0,2.5
140,0,0,1,0,0.0,0.0,1.0
141,0,0,1,0,0.0,0.0,1.0
142,0,5,7,3,0.0,0.625,1.0
143,1,1,3,2,0.125,0.125,2.0
144,2,1,2,1,0.25,0.125,2.5
145,0,0,1,0,0.0,0.0,1.0
146,1,0,1,0,0.125,0.0,2.0
147,1,0,1,0,0.125,0.0,2.0
148,1,0,1,0,0.125,0.0,3.5
149,1,0,1,0,0.125,0.0,2.0
150,0,1,2,1,0.0,0.1111111111111111,1.0
151,0,2,5,3,0.0,0.2222222222222222,1.0
152,0,2,4,2,0.0,0.2222222222222222,1.0
153,0,3,4,3,0.0,0.3333333333333333,1.0
154,1,1,2,1,0.1111111111111111,0.1111111111111111,2.0
155,2,1,3,2,0.2222222222222222,0.1111111111111111,2.0
156,2,1,2,1,0.2222222222222222,0.1111111111111111,2.5
157,3,0,1,0,0.3333333333333333,0.0,2.333333333333333
158,2,0,1,0,0.2222222222222222,0.0,2.75
159,1,0,1,0,0.1111111111111111,0.0,2.0
160,0,6,8,4,0.0,0.6666666666666666,1.0
161,1,3,4,3,0.1111111111111111,0.3333333333333333,2.0
162,0,1,2,1,0.0,0.1111111111111111,1.0
163,0,1,3,2,0.0,0.1111111111111111,1.0
164,1,1,2,1,0.1111111111111111,0.1111111111111111,2.0
165,2,1,3,2,0.2222222222222222,0.1111111111111111,2.5
166,4,1,2,1,0.4444444444444444,0.1111111111111111,2.625
167,2,0,1,0,0.2222222222222222,0.0,2.5
