,psize
0,1.9999616399999998
1,2.0000464929
2,1.0
3,1.9999899240999999
4,1.0
5,1.0
6,1.0
7,5.000009044899999
8,4.0
9,1.4999880676
10,1.4999880676
11,1.0
12,6.0000012600999995
13,2.9999972025000003
14,1.9999899240999999
15,1.9999899240999999
16,1.0
17,1.0
18,2.0000182084
19,1.9999899240999999
20,1.9999899240999999
21,1.0
22,1.0
23,1.0
24,2.0000182084
25,1.9999899240999999
26,1.0
27,1.9999899240999999
28,1.0
29,1.0
30,2.9999972025000003
31,1.9999899240999999
32,1.9999899240999999
33,1.9999899240999999
34,1.0
35,1.0
36,1.0
37,4.0
38,2.9999972025000003
39,1.9999899240999999
40,1.9999899240999999
41,1.0
42,1.0
43,1.0
44,6.0000012600999995
45,2.9999972025000003
46,1.9999899240999999
47,1.0
48,1.9999899240999999
49,1.0
50,1.0
51,2.5000036996
52,1.0
53,2.5000036996
54,1.9999899240999999
55,1.9999899240999999
56,1.0
57,1.0
58,2.9999972025000003
59,2.0003576356
60,1.0
61,1.0
62,1.9999899240999999
63,1.9996505281
64,1.0
65,1.9999899240999999
66,4.9085288704000005
67,3.908529
68,1.0
69,1.0914816676
70,1.4999880676
71,1.4999880676
72,1.0
73,4.7732636483999995
74,2.2267503728999998
75,1.0
76,1.2267556081000002
77,3.7732285504
78,2.7732573961000004
79,1.0
80,1.0
81,1.0
82,3.5000048889
83,3.5000048889
84,1.9999899240999999
85,2.9999972025000003
86,1.0
87,1.0
88,1.0
89,1.9999899240999999
90,3.0002050521
91,2.0002162041
92,2.9997893601
93,1.9997919396
94,1.0
95,1.0
96,1.0
97,2.999824
98,3.00017041
99,1.0
100,1.9999899240999999
101,1.9999899240999999
102,1.0
103,1.9999899240999999
104,1.0
105,9.0
106,2.5534761616000003
107,2.89306081
108,1.0
109,2.5534761616000003
110,1.8930732921000002
111,2.1069393409
112,1.0
113,1.0
114,2.9999625616000003
115,3.0001357681
116,2.0000182084
117,2.0000182084
118,2.9999279209
119,1.0
120,1.9999616399999998
121,1.0
122,1.0
123,4.499998542399999
124,4.0
125,4.499998542399999
126,2.9999972025000003
127,1.0
128,1.9999899240999999
129,1.9999899240999999
130,1.0
131,1.0
132,3.3228550369
133,2.8385847360999996
134,2.8385847360999996
135,1.0
136,1.0
137,2.67715044
138,2.3228503281
139,1.9999899240999999
140,1.0
141,9.0
142,1.9999899240999999
143,3.0017641536000004
144,2.9982307716000003
145,1.9999899240999999
146,1.9999899240999999
147,1.0
148,1.0
149,1.0
150,2.9999972025000003
151,1.9999899240999999
152,5.000009044899999
153,4.0
154,1.0
155,1.9999899240999999
156,2.9999972025000003
157,1.9999899240999999
158,1.0
159,1.0
160,6.999993062500001
161,6.0000012600999995
162,1.0
163,1.9999899240999999
164,5.000009044899999
165,4.0
166,1.0
167,2.9999972025000003
168,1.9999899240999999
169,1.0
170,3.5000048889
171,1.9999899240999999
172,3.5000048889
173,1.0
174,2.5000036996
175,2.9999972025000003
176,2.5000036996
177,1.9999899240999999
178,1.0
179,1.0
180,5.000009044899999
181,2.5000036996
182,4.0
183,2.5000036996
184,2.9999972025000003
185,1.9999899240999999
186,1.9999899240999999
187,1.0
188,1.0
189,1.0
190,5.000009044899999
191,5.000009044899999
192,4.0
193,4.0
194,4.0
195,1.0
196,1.0
197,2.9999972025000003
198,1.9999899240999999
199,1.0
200,10.9999682244
201,10.0000147984
202,4.499998542399999
203,4.499998542399999
204,1.9999899240999999
205,1.9999899240999999
206,2.9999972025000003
207,1.0
208,1.0
209,1.9999899240999999
210,1.0
211,3.3052694416000006
212,5.2577572804
213,1.4370015624999999
214,2.3052652561
215,2.4370019881000005
216,4.2577433649
217,1.3052605503999999
218,3.2577362064
219,2.6947520649
220,1.0
221,1.0
222,4.0
223,4.0
224,2.9999972025000003
225,2.9999972025000003
226,2.0007819601
227,2.9999972025000003
228,1.0
229,1.0
230,1.0
231,1.9999899240999999
232,1.9992263235999999
233,6.166431232899999
234,5.1664380804
235,4.1664157924000005
236,2.8335662223999996
237,1.8335597281
238,1.9999899240999999
239,1.0
240,2.0001030625
241,1.0
242,1.0
243,1.9998767888999998
244,10.9999682244
245,5.000009044899999
246,5.000009044899999
247,1.9999899240999999
248,2.9999972025000003
249,2.0000182084
250,2.9999972025000003
251,1.0
252,1.9999899240999999
253,1.0
254,1.0
255,4.0
256,4.0
257,2.9999972025000003
258,1.9999899240999999
259,2.9999972025000003
260,1.0
261,1.9999899240999999
262,4.0
263,1.9999899240999999
264,2.9999972025000003
265,1.0
266,1.0
267,4.0
268,5.470406432100001
269,2.9999972025000003
270,2.5295948209000003
271,4.470433635599999
272,3.4704336681
273,1.9999899240999999
274,1.0
275,1.0
276,1.5295752976
277,1.9999899240999999
278,1.0
279,4.5741232384
280,3.7129436100000004
281,3.7129436100000004
282,4.3849197604
283,3.9590254729
284,1.0409508729
285,1.0
286,3.5741414916000003
287,1.4999880676
288,1.9999899240999999
289,1.4999880676
290,1.0
291,11.999988810000001
292,3.4102639560999997
293,4.4102520036
294,3.2948784324
295,3.2948784324
296,1.9999899240999999
297,4.5897492169000005
298,1.9999899240999999
299,2.0000182084
300,1.0
301,1.0
302,1.0
303,8.2505094169
304,1.0
305,2.7495277489
306,7.250471728900001
307,3.7495287768999996
308,6.250500010000001
309,2.9999972025000003
310,2.0001313476
311,1.9999899240999999
312,1.9998767888999998
313,1.0
314,1.0
315,1.0
316,11.9613605904
317,1.0386463395999999
318,8.8735473225
319,7.8735798801
320,6.506274547599999
321,2.0877938064
322,5.5062499716
323,1.4937483961000002
324,2.5000036996
325,2.5000036996
326,1.9999899240999999
327,1.0
328,1.0
329,4.333349988899999
330,4.333349988899999
331,4.333349988899999
332,2.9999972025000003
333,4.0
334,1.9999899240999999
335,1.0
336,1.9999899240999999
337,2.9999972025000003
338,1.9999899240999999
339,1.0
340,2.9999972025000003
341,1.0
342,5.500009944099999
343,1.9999899240999999
344,4.499998542399999
345,5.500009944099999
346,4.499998542399999
347,5.000009044899999
348,4.0
349,1.9999899240999999
350,2.9999972025000003
351,1.0
352,1.0
353,1.9999899240999999
354,1.0
355,1.9999899240999999
356,5.49949401
357,5.500525902400001
358,4.499616712900001
359,4.5003803881
360,6.999993062500001
361,6.0000012600999995
362,5.000009044899999
363,1.0
364,1.4999880676
365,1.4999880676
366,1.0
367,1.0
368,5.5937453121
369,4.2031150225
370,4.59373489
371,4.2031150225
372,6.4062647236000005
373,3.5937543184000003
374,5.406276019600001
375,1.0
376,2.2031168041000004
377,2.20314649
378,1.4062639395999998
379,1.5937295048999998
380,2.5937424601000005
381,1.0
382,5.002245364899999
383,4.0
384,1.9999899240999999
385,4.9977285136
386,3.0000318436
387,3.9999600000999997
388,4.0000400001
389,2.9999625616000003
390,2.0014892676000002
391,1.0
392,2.9999972025000003
393,1.0
394,1.0
395,1.9985194160999997
396,6.288910372899999
397,1.4221993536000002
398,6.288910372899999
399,5.407159608900001
400,5.170621209999999
401,4.407186448900001
402,2.9999972025000003
403,4.5928347481
404,1.9999899240999999
405,1.9999899240999999
406,1.9999899240999999
407,1.9999899240999999
408,1.0
409,1.0
410,6.999993062500001
411,6.999993062500001
412,11.999988810000001
413,10.9999682244
414,3.2770774729000003
415,3.2770774729000003
416,2.4458770449
417,2.5541473489000004
418,3.44584969
419,1.0
420,1.9999899240999999
421,1.0
422,1.9999899240999999
423,1.0
424,4.6666800625
425,3.6666505225
426,4.6666368575999995
427,4.6666800625
428,3.6666505225
429,3.6666888196
430,2.9999972025000003
431,2.0000182084
432,1.0
433,1.0
434,2.9999972025000003
